,emotions,emotions_label,sentence,copy_sentence,word_count,AGE,SEX,COUN,sentence_ut
0,0.0,joy,"['during', 'the', 'period', 'of', 'falling', 'in', 'love', 'each', 'time', 'that', 'we', 'met', 'and', 'especially', 'when', 'we', 'had', 'not', 'met', 'for', 'a', 'long', 'time']","During the period of falling in love, each time that we met and ÌÁ especially when we had not met for a long time.",23,33.0,1.0,1.0,during the period of falling in love each time that we met and especially when we had not met for a long time
1,1.0,fear,"['when', 'i', 'wa', 'involved', 'in', 'a', 'traffic', 'accident']",When I was involved in a traffic accident.,8,33.0,1.0,1.0,when i wa involved in a traffic accident
2,2.0,anger,"['when', 'i', 'wa', 'driving', 'home', 'after', 'several', 'day', 'of', 'hard', 'work', 'there', 'wa', 'a', 'motorist', 'ahead', 'of', 'me', 'who', 'wa', 'driving', 'at', '50', 'kmhour', 'and', 'refused', 'despite', 'his', 'low', 'speeed', 'to', 'let', 'me', 'overtake']","When I was driving home after  several days of hard work, there ÌÁ was a motorist ahead of me who was driving at 50 km/hour and ÌÁ refused, despite his low speeed to let me overtake.",34,33.0,1.0,1.0,when i wa driving home after several day of hard work there wa a motorist ahead of me who wa driving at 50 kmhour and refused despite his low speeed to let me overtake
3,3.0,sadness,"['when', 'i', 'lost', 'the', 'person', 'who', 'meant', 'the', 'most', 'to', 'me']",When I lost the person who meant the most to me. ,11,33.0,1.0,1.0,when i lost the person who meant the most to me
4,4.0,disgust,"['the', 'time', 'i', 'knocked', 'a', 'deer', 'down', 'the', 'sight', 'of', 'the', 'animal', 'injury', 'and', 'helplessness', 'the', 'realization', 'that', 'the', 'animal', 'wa', 'so', 'badly', 'hurt', 'that', 'it', 'had', 'to', 'be', 'put', 'down', 'and', 'when', 'the', 'animal', 'screamed', 'at', 'the', 'moment', 'of', 'death']","The time I knocked a deer down - the sight of the animal's ÌÁ injuries and helplessness.  The realization that the animal was ÌÁ so badly hurt that it had to be put down, and when the animal ÌÁ screamed at the moment of death.",41,33.0,1.0,1.0,the time i knocked a deer down the sight of the animal injury and helplessness the realization that the animal wa so badly hurt that it had to be put down and when the animal screamed at the moment of death
7,0.0,joy,"['when', 'i', 'got', 'a', 'letter', 'offering', 'me', 'the', 'summer', 'job', 'that', 'i', 'had', 'applied', 'for']",When I got a letter offering me the Summer job that I had applied ÌÁ for.  ,15,23.0,2.0,1.0,when i got a letter offering me the summer job that i had applied for
8,1.0,fear,"['when', 'i', 'wa', 'going', 'home', 'alone', 'one', 'night', 'in', 'paris', 'and', 'a', 'man', 'came', 'up', 'behind', 'me', 'and', 'asked', 'me', 'if', 'i', 'wa', 'not', 'afraid', 'to', 'be', 'out', 'alone', 'so', 'late', 'at', 'night']",When I was going home alone one night in Paris and a man came up ÌÁ behind me and asked me if I was not afraid to be out alone so ÌÁ late at night.,33,23.0,2.0,1.0,when i wa going home alone one night in paris and a man came up behind me and asked me if i wa not afraid to be out alone so late at night
9,2.0,anger,"['when', 'i', 'wa', 'talking', 'to', 'him', 'at', 'a', 'party', 'for', 'the', 'first', 'time', 'in', 'a', 'long', 'while', 'and', 'a', 'friend', 'came', 'and', 'interrupted', 'u', 'and', 'he', 'left']",When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,27,23.0,2.0,1.0,when i wa talking to him at a party for the first time in a long while and a friend came and interrupted u and he left
10,3.0,sadness,"['when', 'my', 'friend', 'did', 'not', 'ask', 'me', 'to', 'go', 'to', 'a', 'new', 'year', 'party', 'with', 'them']",When my friends did not ask me to go to a New Year's party ÌÁ with them.,16,23.0,2.0,1.0,when my friend did not ask me to go to a new year party with them
11,4.0,disgust,"['when', 'i', 'saw', 'all', 'the', 'very', 'drunk', 'kid', '1314', 'year', 'old', 'in', 'town', 'on', 'walpurgis', 'night']",When I saw all the very drunk kids (13-14 years old) in town on ÌÁ Walpurgis night.,16,23.0,2.0,1.0,when i saw all the very drunk kid 1314 year old in town on walpurgis night
14,0.0,joy,"['on', 'day', 'when', 'i', 'feel', 'close', 'to', 'my', 'partner', 'and', 'other', 'friend', 'when', 'i', 'feel', 'at', 'peace', 'with', 'myself', 'and', 'also', 'experience', 'a', 'close', 'contact', 'with', 'people', 'whom', 'i', 'regard', 'greatly']",[ On days when I feel close to my partner and other friends.  ÌÁ When I feel at peace with myself and also experience a close ÌÁ contact with people whom I regard greatly.],31,22.0,2.0,1.0,on day when i feel close to my partner and other friend when i feel at peace with myself and also experience a close contact with people whom i regard greatly
15,1.0,fear,"['every', 'time', 'i', 'imagine', 'that', 'someone', 'i', 'love', 'or', 'i', 'could', 'contact', 'a', 'serious', 'illness', 'even', 'death']","Every time I imagine that someone I love or I could contact a ÌÁ serious illness, even death.",17,22.0,2.0,1.0,every time i imagine that someone i love or i could contact a serious illness even death
16,2.0,anger,"['when', 'i', 'had', 'been', 'obviously', 'unjustly', 'treated', 'and', 'had', 'no', 'possibility', 'of', 'elucidating', 'this']",When I had been obviously unjustly treated and had no possibility ÌÁ of elucidating this.,14,22.0,2.0,1.0,when i had been obviously unjustly treated and had no possibility of elucidating this
17,3.0,sadness,"['when', 'i', 'think', 'about', 'the', 'short', 'time', 'that', 'we', 'live', 'and', 'relate', 'it', 'to', 'the', 'period', 'of', 'my', 'life', 'when', 'i', 'think', 'that', 'i', 'did', 'not', 'use', 'this', 'short', 'time']",When I think about the short time that we live and relate it to ÌÁ the periods of my life when I think that I did not use this ÌÁ short time.,30,22.0,2.0,1.0,when i think about the short time that we live and relate it to the period of my life when i think that i did not use this short time
18,4.0,disgust,"['at', 'a', 'gathering', 'i', 'found', 'myself', 'involuntarily', 'sitting', 'next', 'to', 'two', 'people', 'who', 'expressed', 'opinion', 'that', 'i', 'considered', 'very', 'low', 'and', 'discriminating']",At a gathering I found myself involuntarily sitting next to two ÌÁ people who expressed opinions that I considered very low and ÌÁ discriminating.,22,22.0,2.0,1.0,at a gathering i found myself involuntarily sitting next to two people who expressed opinion that i considered very low and discriminating
21,0.0,joy,"['after', 'my', 'girlfriend', 'had', 'taken', 'her', 'exam', 'we', 'went', 'to', 'her', 'parent', 'place']",After my girlfriend had taken her exam we went to her parent's ÌÁ place.,13,23.0,1.0,1.0,after my girlfriend had taken her exam we went to her parent place
